ID,Date,Latitude,Longitude,M
1,19010303,36,-120.5,6.4
2,19020519,38.3,-122,5.5
3,19020728,34.8,-120.4,5.8
4,19020731,34.7,-120.3,5.8
5,19030124,31.5,-115,6.6
6,19030325,36.1,-121.6,5.9
7,19030611,37.2,-121.8,6.1
8,19030803,37.3,-121.8,6.2
9,19050526,36.5,-120.6,6.1
10,19051223,35.3,-118.8,5.8
11,19060418,37.7,-122.5,7.8
12,19060419,32.9,-115.5,6.2
13,19060423,41,-124.5,6.4
14,19061207,35.5,-121.2,5.7
15,19070811,40.5,-125.5,6.4
16,19070920,34.2,-117.1,5.8
17,19080427,35.6,-120.2,5.5
18,19080818,40.8,-124,5.8
19,19081104,36,-117,6
20,19090623,39.5,-121,5.9
21,19091029,40.5,-124.2,6
22,19100311,36.95,-121.7,5.8
23,19100319,40,-125,6
24,19100411,33.5,-116.5,5.8
25,19100506,37.33,-118.42,6
26,19100515,33.7,-117.4,6
27,19101231,36.8,-122.1,5.7
28,19110701,37.25,-121.75,6.4
29,19120105,37.33,-118.42,5.5
30,19140218,39.5,-119.8,5.6
31,19140424,39.5,-119.8,6
32,19150112,34.6,-120.2,5.7
33,19150623,32.8,-115.5,6
34,19150623,32.8,-115.5,5.9
35,19151121,32,-115,6.6
36,19160806,36.67,-121.25,5.8
37,19160930,33.2,-116.1,5.7
38,19161023,34.85,-119,5.5
39,19161110,35.3,-116.7,5.9
40,19170528,32.8,-115.3,5.5
41,19180421,33.75,-117,6.8
42,19180501,32.6,-115.4,5.6
43,19180606,33.6,-116.7,5.5
44,19180715,41,-125,6.5
45,19190216,34.9,-119.2,5.7
46,19191001,32.6,-115,5.9
47,19210908,32.4,-115.5,5.5
48,19220131,41,-125.5,7.3
49,19220310,35.75,-120.25,6
50,19220818,35.75,-120.25,5.5
51,19230122,40.4,-124.9,7.2
52,19230723,34,-117.25,6.2
53,19231107,32.5,-115.5,5.5
54,19250604,41.5,-125,6
55,19250629,34.3,-119.8,6.8
56,19260218,34.3,-119.5,5.5
57,19260403,34,-116,5.5
58,19260629,34.5,-119.5,5.5
59,19260630,35.8,-118.4,5.7
60,19260725,36.5,-120.4,5.8
61,19261022,36.55,-122.18,6.1
62,19261022,36.53,-122.2,6.1
63,19261024,37.02,-122.21,5.8
64,19261227,36.4,-120.4,5.5
65,19270101,32.5,-115.5,5.8
66,19270101,32.5,-115.5,5.5
67,19270215,36.95,-122.27,5.9
68,19270918,37.5,-118.75,5.5
69,19271104,34.6,-120.9,7.1
70,19280415,39.8,-122.65,5.5
71,19280905,35,-117,5.5
72,19281002,33.6,-116.7,5.5
73,19291128,36.9,-118.19,5.5
74,19300116,34.2,-116.9,5.5
75,19300923,40.95,-124.2,5.5
76,19301211,40.4,-124.8,5.5
77,19310310,40,-125,5.6
78,19310909,40.8,-125,5.8
79,19320606,40.8,-124.3,6.4
80,19330311,33.7,-118,6.4
81,19330311,33.683,-118.05,5.5
82,19330625,39.08,-119.33,6.1
83,19340130,38.28,-118.36,6.3
84,19340608,35.8,-120.33,6
85,19340706,41.25,-125.75,6.5
86,19341230,32.25,-115.5,6.5
87,19341231,32,-114.75,7
88,19350102,40.25,-125.25,5.8
89,19350224,32,-115.2,5.5
90,19370207,40.5,-125.25,5.8
91,19370325,33.5,-116.4,5.6
92,19380912,40,-124,5.5
93,19381203,37.453,-118.604,5.7
94,19390111,39,-119.2,5.5
95,19400208,40,-121.6,5.7
96,19400519,32.767,-115.483,5.5
97,19400519,32.767,-115.483,5.5
98,19400519,32.767,-115.483,5.5
99,19400519,32.733,-115.5,7
100,19401220,40,-124,5.5
101,19410209,40.7,-125.4,6.6
102,19410701,34.37,-119.58,5.9
103,19410914,37.567,-118.733,5.5
104,19410914,37.567,-118.733,5.5
105,19411003,40.4,-124.8,6.4
106,19421021,32.967,-116,6.4
107,19421022,33.233,-115.717,6
108,19421203,39.7,-119.3,5.9
109,19430809,38.2,-118.2,5.5
110,19450815,33.217,-116.133,5.7
111,19460315,35.753,-117.986,5.5
112,19460315,35.75,-118.05,6
113,19460718,34.533,-115.983,5.5
114,19470410,34.983,-116.55,6.5
115,19481204,33.933,-116.383,6
116,19481229,39.55,-120.08,6
117,19490211,37.083,-117.75,5.6
118,19490502,34.017,-115.683,5.8
119,19491104,32.2,-116.55,5.7
120,19500320,40.45,-121.47,5.5
121,19500729,33.117,-115.567,5.5
122,19501214,40.08,-120.07,5.6
123,19510124,32.983,-115.733,5.8
124,19511008,40.25,-124.5,6
125,19511226,32.817,-118.35,5.9
126,19520721,35.133,-118.767,5.5
127,19520721,35,-119.033,5.6
128,19520721,35,-119.017,7.3
129,19520721,35,-119,6.3
130,19520723,35.367,-118.583,5.7
131,19520723,35.217,-118.817,5.8
132,19520725,35.317,-118.494,5.8
133,19520725,35.315,-118.516,6
134,19520729,35.383,-118.85,6.3
135,19520731,35.333,-118.6,5.5
136,19520822,35.333,-118.917,5.8
137,19521122,35.768,-121.145,6
138,19530614,32.95,-115.717,5.5
139,19540112,35,-119.017,5.7
140,19540201,32.3,-115.3,5.6
141,19540319,33.283,-116.183,6.3
142,19540319,33.283,-116.183,5.5
143,19540425,36.903,-121.61,5.6
144,19541017,31.5,-116.5,5.7
145,19541024,31.5,-116,6
146,19541112,31.5,-116,6.3
147,19541125,40.27,-125.63,6.5
148,19541221,40.93,-123.78,6.6
149,19560209,31.75,-115.917,6.5
150,19560209,31.75,-115.917,6
151,19560209,31.75,-115.917,5.7
152,19560209,31.75,-115.917,5.7
153,19560209,31.6,-115.7,5.8
154,19560214,31.5,-115.5,6.2
155,19560215,31.5,-115.5,6.2
156,19561011,40.67,-125.77,6
157,19581201,32.25,-115.75,5.8
158,19581201,32.25,-115.75,5.5
159,19590401,39.72,-120.2,5.6
160,19590724,41.13,-125.3,5.8
161,19600606,40.82,-124.88,5.7
162,19610409,36.7,-121.3,5.5
163,19610409,36.68,-121.3,5.5
164,19620823,41.85,-124.33,5.6
165,19630611,31.796,-116.269,5.8
166,19640322,38.7,-118.8,5.5
167,19641222,31.8,-117.1,5.6
168,19660628,35.96,-120.505,5.5
169,19660628,35.95,-120.5,6
170,19660807,31.8,-114.5,6.3
171,19660912,39.42,-120.15,6
172,19671210,40.5,-124.7,5.6
173,19680409,33.19,-116.129,6.6
174,19690428,33.343,-116.346,5.8
175,19691002,38.47,-122.69,5.6
176,19691002,38.46,-122.69,5.7
177,19691105,34.609,-121.435,5.6
178,19710209,34.411,-118.401,6.6
179,19710209,34.411,-118.401,5.8
180,19710209,34.411,-118.401,5.8
181,19730221,34.099,-119.039,5.9
182,19750801,39.44,-121.53,6.1
183,19761126,41.29,-125.71,6.8
184,19780813,34.397,-119.682,6
185,19781004,37.5295,-118.6608,5.8
186,19790806,37.1035,-121.5118,5.7
187,19791015,32.6137,-115.3182,6.5
